Metodo,Base,Estatistica,Variavel,Valor
RAW,01-Credit Card Fraud Detection,Media,time,94813.85957508066
RAW,01-Credit Card Fraud Detection,Media,v1,1.1665850680621618e-15
RAW,01-Credit Card Fraud Detection,Media,v2,3.119076064621981e-16
RAW,01-Credit Card Fraud Detection,Media,v3,-1.3633524919768066e-15
RAW,01-Credit Card Fraud Detection,Media,v4,2.1113268745476085e-15
RAW,01-Credit Card Fraud Detection,Media,v5,9.796568111432642e-16
RAW,01-Credit Card Fraud Detection,Media,v6,1.5100407990523834e-15
RAW,01-Credit Card Fraud Detection,Media,v7,-5.42158836862075e-16
RAW,01-Credit Card Fraud Detection,Media,v8,1.026905650640441e-16
RAW,01-Credit Card Fraud Detection,Media,v9,-2.4224546273782102e-15
RAW,01-Credit Card Fraud Detection,Media,v10,2.2260780757685486e-15
RAW,01-Credit Card Fraud Detection,Media,v11,1.7064239784843682e-15
RAW,01-Credit Card Fraud Detection,Media,v12,-1.2430601430478238e-15
RAW,01-Credit Card Fraud Detection,Media,v13,8.352921119946204e-16
RAW,01-Credit Card Fraud Detection,Media,v14,1.2286561824309816e-15
RAW,01-Credit Card Fraud Detection,Media,v15,4.843945738369545e-15
RAW,01-Credit Card Fraud Detection,Media,v16,1.4336660309784372e-15
RAW,01-Credit Card Fraud Detection,Media,v17,-3.777405945805621e-16
RAW,01-Credit Card Fraud Detection,Media,v18,9.760679213305696e-16
RAW,01-Credit Card Fraud Detection,Media,v19,1.0384977404347022e-15
RAW,01-Credit Card Fraud Detection,Media,v20,6.406692900993326e-16
RAW,01-Credit Card Fraud Detection,Media,v21,1.6862008387137017e-16
RAW,01-Credit Card Fraud Detection,Media,v22,-3.3804383531067893e-16
RAW,01-Credit Card Fraud Detection,Media,v23,2.673353408345847e-16
RAW,01-Credit Card Fraud Detection,Media,v24,4.4748661360575374e-15
RAW,01-Credit Card Fraud Detection,Media,v25,5.105997208289615e-16
RAW,01-Credit Card Fraud Detection,Media,v26,1.6846352169266018e-15
RAW,01-Credit Card Fraud Detection,Media,v27,-3.673406847200072e-16
RAW,01-Credit Card Fraud Detection,Media,v28,-1.23037983974108e-16
RAW,01-Credit Card Fraud Detection,Media,amount,88.34961925093134
RAW,01-Credit Card Fraud Detection,Media,radius1,NA
RAW,01-Credit Card Fraud Detection,Media,texture1,NA
RAW,01-Credit Card Fraud Detection,Media,perimeter1,NA
RAW,01-Credit Card Fraud Detection,Media,area1,NA
RAW,01-Credit Card Fraud Detection,Media,smoothness1,NA
RAW,01-Credit Card Fraud Detection,Media,compactness1,NA
RAW,01-Credit Card Fraud Detection,Media,concavity1,NA
RAW,01-Credit Card Fraud Detection,Media,concave_points1,NA
RAW,01-Credit Card Fraud Detection,Media,symmetry1,NA
RAW,01-Credit Card Fraud Detection,Media,fractal_dimension1,NA
RAW,01-Credit Card Fraud Detection,Media,radius2,NA
RAW,01-Credit Card Fraud Detection,Media,texture2,NA
RAW,01-Credit Card Fraud Detection,Media,perimeter2,NA
RAW,01-Credit Card Fraud Detection,Media,area2,NA
RAW,01-Credit Card Fraud Detection,Media,smoothness2,NA
RAW,01-Credit Card Fraud Detection,Media,compactness2,NA
RAW,01-Credit Card Fraud Detection,Media,concavity2,NA
RAW,01-Credit Card Fraud Detection,Media,concave_points2,NA
RAW,01-Credit Card Fraud Detection,Media,symmetry2,NA
RAW,01-Credit Card Fraud Detection,Media,fractal_dimension2,NA
RAW,01-Credit Card Fraud Detection,Media,radius3,NA
RAW,01-Credit Card Fraud Detection,Media,texture3,NA
RAW,01-Credit Card Fraud Detection,Media,perimeter3,NA
RAW,01-Credit Card Fraud Detection,Media,area3,NA
RAW,01-Credit Card Fraud Detection,Media,smoothness3,NA
RAW,01-Credit Card Fraud Detection,Media,compactness3,NA
RAW,01-Credit Card Fraud Detection,Media,concavity3,NA
RAW,01-Credit Card Fraud Detection,Media,concave_points3,NA
RAW,01-Credit Card Fraud Detection,Media,symmetry3,NA
RAW,01-Credit Card Fraud Detection,Media,fractal_dimension3,NA
RAW,01-Credit Card Fraud Detection,Media,pregnancies,NA
RAW,01-Credit Card Fraud Detection,Media,glucose,NA
RAW,01-Credit Card Fraud Detection,Media,bloodpressure,NA
RAW,01-Credit Card Fraud Detection,Media,skinthickness,NA
RAW,01-Credit Card Fraud Detection,Media,insulin,NA
RAW,01-Credit Card Fraud Detection,Media,bmi,NA
RAW,01-Credit Card Fraud Detection,Media,diabetespedigreefunction,NA
RAW,01-Credit Card Fraud Detection,Media,age,NA
RAW,01-Credit Card Fraud Detection,Media,attribute01,NA
RAW,01-Credit Card Fraud Detection,Media,attribute02,NA
RAW,01-Credit Card Fraud Detection,Media,attribute03,NA
RAW,01-Credit Card Fraud Detection,Media,attribute04,NA
RAW,01-Credit Card Fraud Detection,Media,attribute05,NA
RAW,01-Credit Card Fraud Detection,Media,attribute06,NA
RAW,01-Credit Card Fraud Detection,Media,attribute07,NA
RAW,01-Credit Card Fraud Detection,Media,attribute08,NA
RAW,01-Credit Card Fraud Detection,Media,attribute09,NA
RAW,01-Credit Card Fraud Detection,Media,attribute10,NA
RAW,01-Credit Card Fraud Detection,Media,attribute11,NA
RAW,01-Credit Card Fraud Detection,Media,attribute12,NA
RAW,01-Credit Card Fraud Detection,Media,attribute13,NA
RAW,01-Credit Card Fraud Detection,Media,attribute14,NA
RAW,01-Credit Card Fraud Detection,Media,attribute15,NA
RAW,01-Credit Card Fraud Detection,Media,attribute16,NA
RAW,01-Credit Card Fraud Detection,Media,attribute17,NA
RAW,01-Credit Card Fraud Detection,Media,attribute18,NA
RAW,01-Credit Card Fraud Detection,Media,attribute19,NA
RAW,01-Credit Card Fraud Detection,Media,attribute20,NA
RAW,01-Credit Card Fraud Detection,Media,attribute21,NA
RAW,01-Credit Card Fraud Detection,Media,attribute22,NA
RAW,01-Credit Card Fraud Detection,Media,attribute23,NA
RAW,01-Credit Card Fraud Detection,Media,attribute24,NA
RAW,01-Credit Card Fraud Detection,Media,attribute25,NA
RAW,01-Credit Card Fraud Detection,Media,attribute26,NA
RAW,01-Credit Card Fraud Detection,Media,attribute27,NA
RAW,01-Credit Card Fraud Detection,Media,attribute28,NA
RAW,01-Credit Card Fraud Detection,Media,attribute29,NA
RAW,01-Credit Card Fraud Detection,Media,attribute30,NA
RAW,01-Credit Card Fraud Detection,Media,attribute31,NA
RAW,01-Credit Card Fraud Detection,Media,attribute32,NA
RAW,01-Credit Card Fraud Detection,Media,attribute33,NA
RAW,01-Credit Card Fraud Detection,Media,attribute34,NA
RAW,01-Credit Card Fraud Detection,Media,aa,NA
RAW,01-Credit Card Fraud Detection,Media,ao,NA
RAW,01-Credit Card Fraud Detection,Media,dcl,NA
RAW,01-Credit Card Fraud Detection,Media,iy,NA
RAW,01-Credit Card Fraud Detection,Media,sh,NA
RAW,01-Credit Card Fraud Detection,Media,0,NA
RAW,01-Credit Card Fraud Detection,Media,1,NA
RAW,01-Credit Card Fraud Detection,Media,2,NA
RAW,01-Credit Card Fraud Detection,Media,3,NA
RAW,01-Credit Card Fraud Detection,Media,4,NA
RAW,01-Credit Card Fraud Detection,Media,5,NA
RAW,01-Credit Card Fraud Detection,Media,6,NA
RAW,01-Credit Card Fraud Detection,Media,7,NA
RAW,01-Credit Card Fraud Detection,Media,8,NA
RAW,01-Credit Card Fraud Detection,Media,9,NA
RAW,01-Credit Card Fraud Detection,Media,10,NA
RAW,01-Credit Card Fraud Detection,Media,11,NA
RAW,01-Credit Card Fraud Detection,Media,12,NA
RAW,01-Credit Card Fraud Detection,Media,13,NA
RAW,01-Credit Card Fraud Detection,Media,14,NA
RAW,01-Credit Card Fraud Detection,Media,15,NA
RAW,01-Credit Card Fraud Detection,Media,16,NA
RAW,01-Credit Card Fraud Detection,Media,17,NA
RAW,01-Credit Card Fraud Detection,Media,18,NA
RAW,01-Credit Card Fraud Detection,Media,19,NA
RAW,01-Credit Card Fraud Detection,Media,20,NA
RAW,01-Credit Card Fraud Detection,Media,21,NA
RAW,01-Credit Card Fraud Detection,Media,22,NA
RAW,01-Credit Card Fraud Detection,Media,23,NA
RAW,01-Credit Card Fraud Detection,Media,24,NA
RAW,01-Credit Card Fraud Detection,Media,25,NA
RAW,01-Credit Card Fraud Detection,Media,26,NA
RAW,01-Credit Card Fraud Detection,Media,27,NA
RAW,01-Credit Card Fraud Detection,Media,28,NA
RAW,01-Credit Card Fraud Detection,Media,29,NA
RAW,01-Credit Card Fraud Detection,Media,30,NA
RAW,01-Credit Card Fraud Detection,Media,31,NA
RAW,01-Credit Card Fraud Detection,Media,32,NA
RAW,01-Credit Card Fraud Detection,Media,33,NA
RAW,01-Credit Card Fraud Detection,Media,34,NA
RAW,01-Credit Card Fraud Detection,Media,35,NA
RAW,01-Credit Card Fraud Detection,Media,36,NA
RAW,01-Credit Card Fraud Detection,Media,37,NA
RAW,01-Credit Card Fraud Detection,Media,38,NA
RAW,01-Credit Card Fraud Detection,Media,39,NA
RAW,01-Credit Card Fraud Detection,Media,40,NA
RAW,01-Credit Card Fraud Detection,Media,41,NA
RAW,01-Credit Card Fraud Detection,Media,42,NA
RAW,01-Credit Card Fraud Detection,Media,43,NA
RAW,01-Credit Card Fraud Detection,Media,44,NA
RAW,01-Credit Card Fraud Detection,Media,45,NA
RAW,01-Credit Card Fraud Detection,Media,46,NA
RAW,01-Credit Card Fraud Detection,Media,48,NA
RAW,01-Credit Card Fraud Detection,Media,49,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,time,47488.14595456617
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v1,1.958695803857486
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v2,1.6513085794769975
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v3,1.5162550051777717
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v4,1.4158685749409203
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v5,1.3802467340314395
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v6,1.3322710897575754
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v7,1.237093598182666
