Base,Modelo,AcuraciaTreino
04-Ionosphere,logistico,0.8821428571428571
04-Ionosphere,arvore,0.8824175824175824
04-Ionosphere,rf,0.9586691086691086
04-Ionosphere,svm,0.9491758241758242
04-Ionosphere,ann,0.92997557997558
06-The Mammography (Kevin Woods),logistico,0.878710605466196
06-The Mammography (Kevin Woods),arvore,0.9818883222178632
06-The Mammography (Kevin Woods),rf,0.9842421864783575
06-The Mammography (Kevin Woods),svm,0.9452726559435073
06-The Mammography (Kevin Woods),ann,0.9313456257355825
