Base,Balanceamento,Modelo,Acuracia,Precisao,Recall,F1
02-Breast Cancer Wisconsin (Diagnostic),OVERSAMPLING,logistico,0.9813084112149533,0.9813084112149533,0.9813084112149533,0.9813084112149533
02-Breast Cancer Wisconsin (Diagnostic),OVERSAMPLING,arvore,0.9906542056074766,1,0.9813084112149533,0.9905660377358491
02-Breast Cancer Wisconsin (Diagnostic),OVERSAMPLING,rf,0.985981308411215,0.9905660377358491,0.9813084112149533,0.9859154929577464
02-Breast Cancer Wisconsin (Diagnostic),OVERSAMPLING,svm,0.9813084112149533,1,0.9626168224299065,0.9809523809523809
02-Breast Cancer Wisconsin (Diagnostic),OVERSAMPLING,ann,0.5,0.5,1,0.6666666666666666
03-Pima Indians Diabetes,OVERSAMPLING,logistico,0.7633333333333333,0.7453416149068323,0.8,0.7717041800643087
03-Pima Indians Diabetes,OVERSAMPLING,arvore,0.9,0.8571428571428571,0.96,0.9056603773584904
03-Pima Indians Diabetes,OVERSAMPLING,rf,0.8966666666666666,0.8562874251497006,0.9533333333333334,0.9022082018927444
03-Pima Indians Diabetes,OVERSAMPLING,svm,0.7866666666666666,0.7756410256410257,0.8066666666666666,0.7908496732026143
03-Pima Indians Diabetes,OVERSAMPLING,ann,0.7233333333333334,0.695906432748538,0.7933333333333333,0.7414330218068537
04-Ionosphere,OVERSAMPLING,logistico,0.9104477611940298,0.9230769230769231,0.8955223880597015,0.9090909090909091
04-Ionosphere,OVERSAMPLING,arvore,1,1,1,1
04-Ionosphere,OVERSAMPLING,rf,0.9925373134328358,1,0.9850746268656716,0.9924812030075187
04-Ionosphere,OVERSAMPLING,svm,0.9626865671641791,0.9428571428571428,0.9850746268656716,0.9635036496350364
04-Ionosphere,OVERSAMPLING,ann,0.9626865671641791,0.9558823529411765,0.9701492537313433,0.962962962962963
05-phoneme,OVERSAMPLING,logistico,0.7419213973799127,0.7205414012738853,0.7903930131004366,0.7538525614327363
05-phoneme,OVERSAMPLING,arvore,0.9585152838427947,0.9396984924623115,0.9799126637554585,0.9593843522873022
05-phoneme,OVERSAMPLING,rf,0.9620087336244542,0.9460370994940978,0.9799126637554585,0.9626769626769627
05-phoneme,OVERSAMPLING,svm,0.8104803493449781,0.7757951900698216,0.8733624454148472,0.8216926869350863
05-phoneme,OVERSAMPLING,ann,0.8379912663755459,0.8141233766233766,0.8759825327510917,0.8439209087084562
06-The Mammography (Kevin Woods),OVERSAMPLING,logistico,0.8740842490842491,0.8926626081384171,0.8504273504273504,0.8710332968579022
06-The Mammography (Kevin Woods),OVERSAMPLING,arvore,0.9829059829059829,0.9925280199252802,0.9731379731379731,0.9827373612823673
06-The Mammography (Kevin Woods),OVERSAMPLING,rf,0.9851953601953602,0.9971848608070065,0.9731379731379731,0.9850146763479066
06-The Mammography (Kevin Woods),OVERSAMPLING,svm,0.9055250305250305,0.9377265238879736,0.8687423687423688,0.9019172872761845
06-The Mammography (Kevin Woods),OVERSAMPLING,ann,0.9162087912087912,0.9332697807435653,0.8965201465201466,0.9145259224661373
07-Oil Spill Imbalanced Classification,OVERSAMPLING,logistico,0.9645522388059702,0.9494584837545126,0.9813432835820896,0.9651376146788991
07-Oil Spill Imbalanced Classification,OVERSAMPLING,arvore,0.9925373134328358,0.9852941176470589,1,0.9925925925925926
07-Oil Spill Imbalanced Classification,OVERSAMPLING,rf,0.9944029850746269,0.988929889298893,1,0.9944341372912803
07-Oil Spill Imbalanced Classification,OVERSAMPLING,svm,0.9869402985074627,0.9745454545454545,1,0.9871086556169428
07-Oil Spill Imbalanced Classification,OVERSAMPLING,ann,0.871268656716418,0.896414342629482,0.8395522388059702,0.8670520231213873
02-Breast Cancer Wisconsin (Diagnostic),RAW,logistico,0.9470588235294117,0.9090909090909091,0.9523809523809523,0.9302325581395349
02-Breast Cancer Wisconsin (Diagnostic),RAW,arvore,0.9411764705882353,0.9491525423728814,0.8888888888888888,0.9180327868852458
02-Breast Cancer Wisconsin (Diagnostic),RAW,rf,0.9705882352941176,0.9833333333333333,0.9365079365079365,0.9593495934959351
02-Breast Cancer Wisconsin (Diagnostic),RAW,svm,0.9647058823529412,0.9523809523809523,0.9523809523809523,0.9523809523809523
02-Breast Cancer Wisconsin (Diagnostic),RAW,ann,0.9235294117647059,0.8571428571428571,0.9523809523809523,0.9022556390977443
03-Pima Indians Diabetes,RAW,logistico,0.7695652173913043,0.7014925373134329,0.5875,0.6394557823129252
03-Pima Indians Diabetes,RAW,arvore,0.7652173913043478,0.696969696969697,0.575,0.6301369863013698
03-Pima Indians Diabetes,RAW,rf,0.7869565217391304,0.7384615384615385,0.6,0.6620689655172414
03-Pima Indians Diabetes,RAW,svm,0.7608695652173914,0.6984126984126984,0.55,0.6153846153846154
03-Pima Indians Diabetes,RAW,ann,0.7,0.5591397849462365,0.65,0.6011560693641619
04-Ionosphere,RAW,logistico,0.8269230769230769,0.8656716417910447,0.8656716417910447,0.8656716417910447
04-Ionosphere,RAW,arvore,0.9038461538461539,0.8701298701298701,1,0.9305555555555556
04-Ionosphere,RAW,rf,0.9038461538461539,0.8904109589041096,0.9701492537313433,0.9285714285714287
04-Ionosphere,RAW,svm,0.875,0.8648648648648649,0.9552238805970149,0.9078014184397162
04-Ionosphere,RAW,ann,0.8557692307692307,0.8421052631578947,0.9552238805970149,0.895104895104895
05-phoneme,RAW,logistico,0.7481481481481481,0.5917808219178082,0.45473684210526316,0.5142857142857143
05-phoneme,RAW,arvore,0.8888888888888888,0.8185745140388769,0.7978947368421052,0.8081023454157782
05-phoneme,RAW,rf,0.9030864197530865,0.8412017167381974,0.8252631578947368,0.8331562167906482
05-phoneme,RAW,svm,0.7975308641975308,0.6490872210953347,0.6736842105263158,0.6611570247933884
05-phoneme,RAW,ann,0.8234567901234567,0.7213114754098361,0.6484210526315789,0.6829268292682926
06-The Mammography (Kevin Woods),RAW,logistico,0.9803220035778175,0.6111111111111112,0.4230769230769231,0.5
06-The Mammography (Kevin Woods),RAW,arvore,0.9827072152653548,0.6666666666666666,0.5128205128205128,0.5797101449275363
06-The Mammography (Kevin Woods),RAW,rf,0.9865831842576028,0.851063829787234,0.5128205128205128,0.64
06-The Mammography (Kevin Woods),RAW,svm,0.9824090638044126,0.7317073170731707,0.38461538461538464,0.5042016806722689
06-The Mammography (Kevin Woods),RAW,ann,0.9859868813357185,0.7818181818181819,0.5512820512820513,0.6466165413533834
07-Oil Spill Imbalanced Classification,RAW,logistico,0.9321428571428572,0.3157894736842105,0.5,0.3870967741935484
07-Oil Spill Imbalanced Classification,RAW,arvore,0.9571428571428572,0,0,0
07-Oil Spill Imbalanced Classification,RAW,rf,0.9678571428571429,0.7142857142857143,0.4166666666666667,0.5263157894736842
07-Oil Spill Imbalanced Classification,RAW,svm,0.9821428571428571,1,0.5833333333333334,0.7368421052631579
07-Oil Spill Imbalanced Classification,RAW,ann,0.9571428571428572,0,0,0
02-Breast Cancer Wisconsin (Diagnostic),ROSE,logistico,0.9058823529411765,0.9113924050632911,0.8888888888888888,0.8999999999999999
